Name,Points,Time,CorrectMinValue,CorrectIndex,Timestamp
ROCm (simple),10000,0.0000231700,1,1,2025-11-07 07:26:11
ROCm (simple),100000,0.0000210500,1,1,2025-11-07 07:26:11
ROCm (simple),1000000,0.0000350410,1,1,2025-11-07 07:26:11
ROCm (simple),10000000,0.0000388810,1,1,2025-11-07 07:26:11
ROCm (simple),100000000,0.0002422820,1,1,2025-11-07 07:26:11
ROCm (simple),1000000000,0.0024670890,1,1,2025-11-07 07:26:11
ROCm (rocPRIM),1000,0.0000259900,1,1,2025-11-07 07:26:11
ROCm (rocPRIM),10000,0.0000423900,1,1,2025-11-07 07:26:11
ROCm (rocPRIM),100000,0.0000393110,1,1,2025-11-07 07:26:11
ROCm (rocPRIM),1000000,0.0000435810,1,1,2025-11-07 07:26:11
ROCm (rocPRIM),10000000,0.0001143610,1,1,2025-11-07 07:26:11
ROCm (rocPRIM),100000000,0.0009114370,1,1,2025-11-07 07:26:11
ROCm (rocPRIM),1000000000,0.0083469740,1,1,2025-11-07 07:26:11
ROCm (simple),1000,0.0000198200,1,1,2025-11-07 07:28:26
ROCm (simple),10000,0.0000194200,1,1,2025-11-07 07:28:26
ROCm (simple),100000,0.0000185700,1,1,2025-11-07 07:28:26
ROCm (simple),1000000,0.0000192800,1,1,2025-11-07 07:28:26
ROCm (simple),10000000,0.0000383500,1,1,2025-11-07 07:28:26
ROCm (simple),100000000,0.0002340020,1,1,2025-11-07 07:28:26
ROCm (simple),1000000000,0.0024634290,1,1,2025-11-07 07:28:26
ROCm (rocPRIM),1000,0.0000191000,1,1,2025-11-07 07:28:26
ROCm (rocPRIM),10000,0.0000406300,1,1,2025-11-07 07:28:26
ROCm (rocPRIM),100000,0.0000389010,1,1,2025-11-07 07:28:26
ROCm (rocPRIM),1000000,0.0000249500,1,1,2025-11-07 07:28:26
ROCm (rocPRIM),10000000,0.0001172810,1,1,2025-11-07 07:28:26
ROCm (rocPRIM),100000000,0.0009180270,1,1,2025-11-07 07:28:26
ROCm (rocPRIM),1000000000,0.0083987640,1,1,2025-11-07 07:28:26
OpenMP,1000,0.0000365700,1,1,2025-11-07 07:53:04
OpenMP,10000,0.0000406500,1,1,2025-11-07 07:53:04
OpenMP,100000,0.0001769710,1,1,2025-11-07 07:53:04
OpenMP,1000000,0.0004393040,1,1,2025-11-07 07:53:04
OpenMP,10000000,0.0008834460,1,1,2025-11-07 07:53:04
OpenMP,100000000,0.0057816340,1,1,2025-11-07 07:53:04
OpenMP,1000000000,0.0542201510,1,1,2025-11-07 07:53:04
OpenMP,1000,0.0000351710,1,1,2025-11-07 07:54:12
OpenMP,10000,0.0000391300,1,1,2025-11-07 07:54:12
OpenMP,100000,0.0001720610,1,1,2025-11-07 07:54:12
OpenMP,1000000,0.0004142730,1,1,2025-11-07 07:54:12
OpenMP,10000000,0.0008832560,1,1,2025-11-07 07:54:12
OpenMP,100000000,0.0057650940,1,1,2025-11-07 07:54:12
OpenMP,1000000000,0.0538726370,1,1,2025-11-07 07:54:12
OpenMP,1000,0.0000365100,1,1,2025-11-07 07:55:20
OpenMP,10000,0.0000399300,1,1,2025-11-07 07:55:20
OpenMP,100000,0.0001653710,1,1,2025-11-07 07:55:20
OpenMP,1000000,0.0004469340,1,1,2025-11-07 07:55:20
OpenMP,10000000,0.0008981870,1,1,2025-11-07 07:55:20
OpenMP,100000000,0.0057901640,1,1,2025-11-07 07:55:20
OpenMP,1000000000,0.0540966620,1,1,2025-11-07 07:55:20
OpenMP,1000,0.0000360600,1,1,2025-11-07 07:56:28
OpenMP,10000,0.0000397000,1,1,2025-11-07 07:56:28
OpenMP,100000,0.0001686410,1,1,2025-11-07 07:56:28
OpenMP,1000000,0.0004546630,1,1,2025-11-07 07:56:28
OpenMP,10000000,0.0009062970,1,1,2025-11-07 07:56:28
OpenMP,100000000,0.0057470940,1,1,2025-11-07 07:56:28
OpenMP,1000000000,0.0539214640,1,1,2025-11-07 07:56:28
OpenMP,1000,0.0000373000,1,1,2025-11-07 07:57:35
OpenMP,10000,0.0000414000,1,1,2025-11-07 07:57:35
OpenMP,100000,0.0001766910,1,1,2025-11-07 07:57:35
